pH,log_a_Hplus,logfO2,converged,wlm_mol,assemblage_id,assemblage
6.0000,-6.0000,-36.0000,0,nan,-1,
6.0000,-6.0000,-32.2857,0,nan,-1,
6.0000,-6.0000,-28.5714,0,nan,-1,
6.0000,-6.0000,-24.8571,0,nan,-1,
6.0000,-6.0000,-21.1429,0,nan,-1,
6.0000,-6.0000,-17.4286,0,nan,-1,
6.0000,-6.0000,-13.7143,0,nan,-1,
6.0000,-6.0000,-10.0000,0,nan,-1,
6.7857,-6.7857,-36.0000,0,nan,-1,
6.7857,-6.7857,-32.2857,0,nan,-1,
6.7857,-6.7857,-28.5714,0,nan,-1,
6.7857,-6.7857,-24.8571,0,nan,-1,
6.7857,-6.7857,-21.1429,0,nan,-1,
6.7857,-6.7857,-17.4286,0,nan,-1,
6.7857,-6.7857,-13.7143,0,nan,-1,
6.7857,-6.7857,-10.0000,0,nan,-1,
7.5714,-7.5714,-36.0000,0,nan,-1,
7.5714,-7.5714,-32.2857,0,nan,-1,
7.5714,-7.5714,-28.5714,0,nan,-1,
7.5714,-7.5714,-24.8571,0,nan,-1,
7.5714,-7.5714,-21.1429,0,nan,-1,
7.5714,-7.5714,-17.4286,0,nan,-1,
7.5714,-7.5714,-13.7143,0,nan,-1,
7.5714,-7.5714,-10.0000,0,nan,-1,
8.3571,-8.3571,-36.0000,0,nan,-1,
8.3571,-8.3571,-32.2857,0,nan,-1,
8.3571,-8.3571,-28.5714,0,nan,-1,
8.3571,-8.3571,-24.8571,0,nan,-1,
8.3571,-8.3571,-21.1429,0,nan,-1,
8.3571,-8.3571,-17.4286,0,nan,-1,
8.3571,-8.3571,-13.7143,0,nan,-1,
8.3571,-8.3571,-10.0000,0,nan,-1,
9.1429,-9.1429,-36.0000,0,nan,-1,
9.1429,-9.1429,-32.2857,0,nan,-1,
9.1429,-9.1429,-28.5714,0,nan,-1,
9.1429,-9.1429,-24.8571,0,nan,-1,
9.1429,-9.1429,-21.1429,0,nan,-1,
9.1429,-9.1429,-17.4286,0,nan,-1,
9.1429,-9.1429,-13.7143,0,nan,-1,
9.1429,-9.1429,-10.0000,0,nan,-1,
9.9286,-9.9286,-36.0000,0,nan,-1,
9.9286,-9.9286,-32.2857,0,nan,-1,
9.9286,-9.9286,-28.5714,0,nan,-1,
9.9286,-9.9286,-24.8571,0,nan,-1,
9.9286,-9.9286,-21.1429,0,nan,-1,
9.9286,-9.9286,-17.4286,0,nan,-1,
9.9286,-9.9286,-13.7143,0,nan,-1,
9.9286,-9.9286,-10.0000,0,nan,-1,
10.7143,-10.7143,-36.0000,0,nan,-1,
10.7143,-10.7143,-32.2857,0,nan,-1,
10.7143,-10.7143,-28.5714,0,nan,-1,
10.7143,-10.7143,-24.8571,0,nan,-1,
10.7143,-10.7143,-21.1429,0,nan,-1,
10.7143,-10.7143,-17.4286,0,nan,-1,
10.7143,-10.7143,-13.7143,0,nan,-1,
10.7143,-10.7143,-10.0000,0,nan,-1,
11.5000,-11.5000,-36.0000,0,nan,-1,
11.5000,-11.5000,-32.2857,0,nan,-1,
11.5000,-11.5000,-28.5714,0,nan,-1,
11.5000,-11.5000,-24.8571,0,nan,-1,
11.5000,-11.5000,-21.1429,0,nan,-1,
11.5000,-11.5000,-17.4286,0,nan,-1,
11.5000,-11.5000,-13.7143,0,nan,-1,
11.5000,-11.5000,-10.0000,0,nan,-1,
