pH,log_a_Hplus,logfO2,converged,wlm_mol,assemblage_id,assemblage
7.0000,-7.0000,-18.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.0000,-7.0000,-14.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.0000,-7.0000,-11.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.0000,-7.0000,-7.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.0000,-7.0000,-4.0000,0,nan,-1,
8.2500,-8.2500,-18.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.2500,-8.2500,-14.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.2500,-8.2500,-11.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.2500,-8.2500,-7.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.2500,-8.2500,-4.0000,0,nan,-1,
9.5000,-9.5000,-18.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.5000,-9.5000,-14.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.5000,-9.5000,-11.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.5000,-9.5000,-7.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.5000,-9.5000,-4.0000,0,nan,-1,
10.7500,-10.7500,-18.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.7500,-10.7500,-14.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.7500,-10.7500,-11.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.7500,-10.7500,-7.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.7500,-10.7500,-4.0000,0,nan,-1,
12.0000,-12.0000,-18.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-14.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-11.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-7.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-4.0000,0,nan,-1,
