pH,log_a_Hplus,logfO2,converged,wlm_mol,assemblage_id,assemblage
7.0000,-7.0000,-20.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.0000,-7.0000,-18.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.0000,-7.0000,-16.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.0000,-7.0000,-14.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.0000,-7.0000,-12.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.0000,-7.0000,-10.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.0000,-7.0000,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.0000,-7.0000,-6.0000,0,nan,-1,
7.7143,-7.7143,-20.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.7143,-7.7143,-18.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.7143,-7.7143,-16.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.7143,-7.7143,-14.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.7143,-7.7143,-12.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.7143,-7.7143,-10.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.7143,-7.7143,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.7143,-7.7143,-6.0000,0,nan,-1,
8.4286,-8.4286,-20.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.4286,-8.4286,-18.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.4286,-8.4286,-16.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.4286,-8.4286,-14.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.4286,-8.4286,-12.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.4286,-8.4286,-10.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.4286,-8.4286,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.4286,-8.4286,-6.0000,0,nan,-1,
9.1429,-9.1429,-20.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.1429,-9.1429,-18.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.1429,-9.1429,-16.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.1429,-9.1429,-14.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.1429,-9.1429,-12.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.1429,-9.1429,-10.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.1429,-9.1429,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.1429,-9.1429,-6.0000,0,nan,-1,
9.8571,-9.8571,-20.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.8571,-9.8571,-18.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.8571,-9.8571,-16.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.8571,-9.8571,-14.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.8571,-9.8571,-12.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.8571,-9.8571,-10.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.8571,-9.8571,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.8571,-9.8571,-6.0000,0,nan,-1,
10.5714,-10.5714,-20.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
10.5714,-10.5714,-18.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
10.5714,-10.5714,-16.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
10.5714,-10.5714,-14.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
10.5714,-10.5714,-12.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
10.5714,-10.5714,-10.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
10.5714,-10.5714,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
10.5714,-10.5714,-6.0000,0,nan,-1,
11.2857,-11.2857,-20.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
11.2857,-11.2857,-18.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
11.2857,-11.2857,-16.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
11.2857,-11.2857,-14.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
11.2857,-11.2857,-12.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
11.2857,-11.2857,-10.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
11.2857,-11.2857,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
11.2857,-11.2857,-6.0000,0,nan,-1,
12.0000,-12.0000,-20.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
12.0000,-12.0000,-18.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
12.0000,-12.0000,-16.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
12.0000,-12.0000,-14.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
12.0000,-12.0000,-12.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
12.0000,-12.0000,-10.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
12.0000,-12.0000,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
12.0000,-12.0000,-6.0000,0,nan,-1,
