T_C,P_kb,rho_model_gcm3,rho_truth_gcm3,drho_gcm3,eps_model,eps_truth,deps,G0_H2O_model_cal,G0_H2O_truth_cal,dG0_H2O_cal,G0_CO2_model_cal,G0_CO2_truth_cal,dG0_CO2_cal,G0_H+_model_cal,G0_H+_truth_cal,dG0_H+_cal,G0_HCO3-_model_cal,G0_HCO3-_truth_cal,dG0_HCO3-_cal,DeltaGro_model_cal,DeltaGro_truth_cal,dDeltaGro_cal,logK_model,logK_truth,dlogK,V0_H2O_model_cm3,V0_H2O_truth_cm3,dV0_H2O_cm3,V0_CO2_model_cm3,V0_CO2_truth_cm3,dV0_CO2_cm3,V0_H+_model_cm3,V0_H+_truth_cm3,dV0_H+_cm3,V0_HCO3-_model_cm3,V0_HCO3-_truth_cm3,dV0_HCO3-_cm3,DeltaVr_model_cm3,DeltaVr_truth_cm3,dDeltaVr_cm3
850,5,0.665681,0.665682,-2.98022e-07,8.21951,8.21952,-5.15353e-06,-78571.9,-78570.5,-1.3391,-128792,-128793,0.811721,0,0,0,-154478,-154477,-1.29249,52886,52886.8,-0.765115,-10.2907,-10.2977,0.00702458,27.0625,27.0629,-0.000408506,61.3659,61.3658,7.56708e-05,0,0,0,-14.2193,-14.2192,-0.00010452,-102.648,-102.648,0.000228315
900,5,0.641677,0.641678,-5.21539e-07,7.40694,7.40695,-8.30316e-06,-80456,-80454.6,-1.42313,-132011,-132011,0.676698,0,0,0,-154995,-154994,-1.07797,57471.2,57471.5,-0.331536,-10.7063,-10.7135,0.00721507,28.0749,28.0753,-0.000413538,66.7598,66.7596,0.000157023,0,0,0,-22.748,-22.7478,-0.000220892,-117.583,-117.583,3.56232e-05
950,5,0.618999,0.618998,4.47033e-07,6.70762,6.70762,6.57057e-06,-82365.2,-82363.7,-1.50492,-135306,-135307,0.571471,0,0,0,-155440,-155439,-0.908819,62231.7,62231.6,0.0246292,-11.1192,-11.1266,0.00742475,29.1035,29.1039,-0.000473362,72.6361,72.6363,-0.000157699,0,0,0,-32.1543,-32.1545,0.000225921,-133.894,-133.895,0.000856982
1000,5,0.597623,0.597623,5.21539e-07,6.10466,6.10465,7.09671e-06,-84292,-84290.5,-1.58468,-138671,-138672,0.446005,0,0,0,-155821,-155820,-0.709072,67142.3,67141.9,0.429606,-11.5255,-11.5331,0.0076268,30.1444,30.1449,-0.00049483,78.932,78.9322,-0.000212993,0,0,0,-42.322,-42.3223,0.000310435,-151.398,-151.399,0.00101826
300,10,1.10267,1.10267,-7.45055e-08,39.5103,39.5103,-3.9018e-06,-58635.5,-58634.7,-0.822543,-95382.5,-95384.7,2.23682,0,0,0,-140340,-140336,-3.56017,13678.3,13683.3,-4.97444,-5.21564,-5.22102,0.00538281,16.3377,16.3379,-0.000252826,31.5105,31.5105,6.7807e-07,0,0,0,29.6842,29.6842,-1.07923e-06,-18.164,-18.1642,0.000251069
350,10,1.07873,1.07873,3.72528e-08,34.6848,34.6848,1.76943e-06,-59941.4,-59940.6,-0.866836,-97525.6,-97527.7,2.10812,0,0,0,-141744,-141741,-3.35533,15722.5,15727.1,-4.59661,-5.51406,-5.51936,0.00529731,16.7002,16.7005,-0.000260142,31.8028,31.8028,-4.11939e-07,0,0,0,29.2297,29.2297,6.55652e-07,-19.2732,-19.2735,0.000261209
400,10,1.05473,1.05473,-1.49011e-07,30.5932,30.5933,-6.42443e-06,-61313,-61312.1,-0.924017,-99731.8,-99733.8,1.97843,0,0,0,-143153,-143150,-3.14892,17891.8,17896,-4.20333,-5.80876,-5.81401,0.00524662,17.0803,17.0805,-0.000263059,32.1379,32.1379,1.98152e-06,0,0,0,28.7046,28.7046,-3.15384e-06,-20.5136,-20.5138,0.000257923
450,10,1.0308,1.0308,-7.45055e-08,27.0966,27.0966,-2.91857e-06,-62743.4,-62742.4,-1.00213,-102000,-102002,1.84964,0,0,0,-144558,-144555,-2.94394,20185.9,20189.7,-3.79145,-6.10044,-6.10567,0.00522253,17.4768,17.477,-0.000270371,32.5192,32.5192,1.18129e-06,0,0,0,28.1045,28.1045,-1.88017e-06,-21.8915,-21.8917,0.00026731
500,10,1.00707,1.00707,-1.49011e-07,24.0912,24.0912,-5.30958e-06,-64224.1,-64223,-1.11547,-104331,-104333,1.72021,0,0,0,-145953,-145950,-2.73793,22602.1,22605.5,-3.34268,-6.38892,-6.39414,0.00521418,17.8885,17.8888,-0.000275387,32.9498,32.9498,2.79603e-06,0,0,0,27.4245,27.4245,-4.45022e-06,-23.4139,-23.4142,0.000268141
550,10,0.983666,0.983666,-1.49011e-07,21.4964,21.4964,-4.83582e-06,-65747,-65745.7,-1.27658,-106722,-106724,1.59109,0,0,0,-147332,-147330,-2.53242,25137.1,25139.9,-2.84693,-6.67387,-6.67909,0.00521543,18.3141,18.3144,-0.000281875,33.4331,33.4331,3.28683e-06,0,0,0,26.6598,26.6598,-5.2314e-06,-25.0875,-25.0877,0.000273357
600,10,0.96068,0.96068,-7.45055e-08,19.2482,19.2482,-2.20519e-06,-67309.2,-67307.8,-1.46568,-109175,-109176,1.46243,0,0,0,-148692,-148690,-2.32765,27792,27794.4,-2.3244,-6.95622,-6.96145,0.00522989,18.7523,18.7526,-0.000290006,33.9719,33.9719,1.91981e-06,0,0,0,25.806,25.806,-3.05562e-06,-26.9182,-26.9185,0.00028503
650,10,0.938193,0.938193,-2.23517e-07,17.2943,17.2943,-6.04238e-06,-68914.2,-68912.5,-1.65082,-111687,-111688,1.33228,0,0,0,-150028,-150026,-2.12049,30573.4,30575.2,-1.80194,-7.23792,-7.24318,0.0052628,19.2018,19.2021,-0.000293871,34.5687,34.5687,6.68773e-06,0,0,0,24.8595,24.8595,-1.06444e-05,-28.911,-28.9112,0.000276539
700,10,0.91627,0.91627,1.11758e-07,15.5914,15.5914,2.76363e-06,-70564.2,-70562.4,-1.82315,-114259,-114260,1.20579,0,0,0,-151337,-151335,-1.91916,33485.9,33487.2,-1.3018,-7.52011,-7.52543,0.00531702,19.6612,19.6615,-0.000307985,35.2252,35.2252,-3.86011e-06,0,0,0,23.8175,23.8175,6.14385e-06,-31.0689,-31.0693,0.000317989
750,10,0.894957,0.894957,1.11758e-07,14.1035,14.1035,2.532e-06,-72258.5,-72256.5,-1.98415,-116890,-116891,1.07688,0,0,0,-152618,-152616,-1.71398,36530.2,36531,-0.806705,-7.80288,-7.80827,0.00538582,20.1295,20.1298,-0.000315378,35.9424,35.9424,-4.43025e-06,0,0,0,22.6784,22.6784,7.05129e-06,-33.3934,-33.3937,0.000326859
800,10,0.874288,0.874288,2.60769e-07,12.8005,12.8004,5.4215e-06,-73994,-73991.8,-2.13637,-119578,-119579,0.949488,0,0,0,-153868,-153867,-1.51123,39703.7,39704,-0.324343,-8.0856,-8.09107,0.00546839,20.6053,20.6057,-0.000326406,36.7203,36.7203,-1.17955e-05,0,0,0,21.4424,21.4424,1.87741e-05,-35.8832,-35.8836,0.000356976
