T_C,P_kb,rho_model_gcm3,rho_truth_gcm3,drho_gcm3,eps_model,eps_truth,deps,G0_H2O_model_cal,G0_H2O_truth_cal,dG0_H2O_cal,G0_CO2_model_cal,G0_CO2_truth_cal,dG0_CO2_cal,G0_H+_model_cal,G0_H+_truth_cal,dG0_H+_cal,G0_HCO3-_model_cal,G0_HCO3-_truth_cal,dG0_HCO3-_cal,DeltaGro_model_cal,DeltaGro_truth_cal,dDeltaGro_cal,logK_model,logK_truth,dlogK,V0_H2O_model_cm3,V0_H2O_truth_cm3,dV0_H2O_cm3,V0_CO2_model_cm3,V0_CO2_truth_cm3,dV0_CO2_cm3,V0_H+_model_cm3,V0_H+_truth_cm3,dV0_H+_cm3,V0_HCO3-_model_cm3,V0_HCO3-_truth_cm3,dV0_HCO3-_cm3,DeltaVr_model_cm3,DeltaVr_truth_cm3,dDeltaVr_cm3
950,20,1.01547,1.01547,1.49011e-07,13.1269,13.1269,2.61275e-06,-74730.8,-74725.6,-5.20232,-118762,-118762,0.561001,0,0,0,-153081,-153080,-0.892903,40411.9,40408.1,3.74842,-7.22056,-7.22472,0.00415413,17.7405,17.7408,-0.000278337,32.3697,32.3697,-2.30909e-06,0,0,0,27.7976,27.7976,3.6752e-06,-22.3126,-22.3129,0.000284321
1000,20,1.00074,1.00074,-1.86264e-08,12.1313,12.1313,-3.00783e-07,-76490.2,-76484.7,-5.47022,-121450,-121450,0.430607,0,0,0,-154550,-154549,-0.685365,43389.9,43385.5,4.35424,-7.44819,-7.45242,0.00422848,18.0018,18.002,-0.000279459,32.5679,32.5679,3.11735e-07,0,0,0,27.4782,27.4782,-4.96166e-07,-23.0915,-23.0917,0.000278651
300,25,1.29015,1.29015,-9.31319e-08,49.7027,49.7027,-5.24384e-06,-53269.6,-53267.5,-2.05726,-84279.4,-84281.6,2.23685,0,0,0,-129491,-129488,-3.56022,8057.61,8061.35,-3.7398,-3.07241,-3.07589,0.00347976,13.9635,13.9638,-0.000216022,30.2735,30.2735,2.49634e-07,0,0,0,31.1999,31.1999,-3.97324e-07,-13.0371,-13.0373,0.000215375
350,25,1.27269,1.27269,-7.45055e-08,44.2813,44.2813,-3.82943e-06,-54484.4,-54482.2,-2.16557,-86345.4,-86347.5,2.10784,0,0,0,-131026,-131023,-3.35489,9803.62,9806.91,-3.29717,-3.43823,-3.44169,0.00345434,14.1551,14.1553,-0.000219178,30.3224,30.3224,2.31404e-07,0,0,0,31.0837,31.0837,-3.68309e-07,-13.3938,-13.394,0.000218578
400,25,1.25546,1.25546,-9.31319e-08,39.6358,39.6358,-4.37034e-06,-55762,-55759.7,-2.3074,-88460.7,-88462.7,1.97876,0,0,0,-132585,-132582,-3.14944,11637.8,11640.6,-2.8208,-3.77833,-3.78177,0.00344086,14.3494,14.3496,-0.000221962,30.3823,30.3823,3.30917e-07,0,0,0,30.9588,30.9588,-5.26695e-07,-13.7728,-13.7731,0.000221104
450,25,1.2384,1.2384,-2.22045e-15,35.6174,35.6174,-2.13163e-14,-57095.6,-57093.1,-2.5043,-90624.3,-90626.1,1.84996,0,0,0,-134161,-134159,-2.94445,13558.4,13560.7,-2.29011,-4.09753,-4.10096,0.00343028,14.547,14.5473,-0.000226099,30.4512,30.4512,-5.68434e-14,0,0,0,30.8256,30.8256,3.55271e-15,-14.1726,-14.1729,0.000226099
500,25,1.22151,1.22151,-9.31319e-08,32.1171,32.1171,-3.64737e-06,-58477,-58474.2,-2.79445,-92834.9,-92836.6,1.72066,0,0,0,-135750,-135748,-2.73865,15561.4,15563.1,-1.66486,-4.39874,-4.40215,0.00340988,14.7481,14.7483,-0.000228099,30.5278,30.5278,4.21044e-07,0,0,0,30.6843,30.6843,-6.70145e-07,-14.5916,-14.5919,0.000227008
550,25,1.20483,1.20483,-3.72527e-08,29.0514,29.0514,-1.33392e-06,-59898.2,-59895,-3.21136,-95091.7,-95093.3,1.5918,0,0,0,-137348,-137345,-2.53355,17642.4,17643.3,-0.913991,-4.68403,-4.68741,0.0033724,14.9523,14.9525,-0.000231935,30.6114,30.6114,1.87892e-07,0,0,0,30.5352,30.5352,-2.99054e-07,-15.0284,-15.0287,0.000231448
600,25,1.18839,1.18839,3.9968e-15,26.3545,26.3545,-3.55271e-15,-61356.8,-61353.1,-3.70238,-97393.8,-97395.2,1.46291,0,0,0,-138949,-138946,-2.3284,19801.8,19801.9,-0.0889337,-4.95629,-4.95963,0.00333376,15.1592,15.1595,-0.000235614,30.7013,30.7013,7.10543e-15,0,0,0,30.3787,30.3787,4.26326e-14,-15.4818,-15.482,0.000235614
650,25,1.1722,1.1722,-8.88178e-16,23.9734,23.9734,-3.19744e-14,-62856.3,-62852.1,-4.18229,-99740.4,-99741.8,1.33389,0,0,0,-140551,-140549,-2.12306,22045.8,22045.1,0.725344,-5.2191,-5.22241,0.00331524,15.3685,15.3688,-0.000238867,30.7969,30.7969,-3.19744e-14,0,0,0,30.2149,30.2149,1.77636e-14,-15.9505,-15.9507,0.000238867
700,25,1.15631,1.15631,7.45055e-08,21.8643,21.8643,2.04733e-06,-64399.2,-64394.6,-4.6276,-102131,-102132,1.20522,0,0,0,-142151,-142149,-1.91826,24379.4,24377.9,1.50413,-5.47502,-5.47834,0.00332005,15.5798,15.58,-0.000243154,30.8978,30.8978,-5.04587e-07,0,0,0,30.0443,30.0443,8.03114e-07,-16.4333,-16.4335,0.000244462
750,25,1.14073,1.14073,7.45055e-08,19.9907,19.9907,1.87713e-06,-65985.2,-65980.2,-5.04231,-104565,-104566,1.07623,0,0,0,-143746,-143744,-1.71296,26804.1,26801.8,2.25311,-5.72537,-5.72872,0.00334375,15.7926,15.7928,-0.000246489,31.0035,31.0035,-5.51414e-07,0,0,0,29.8672,29.8672,8.77644e-07,-16.9288,-16.9291,0.000247918
800,25,1.12547,1.12547,-7.45055e-08,18.322,18.322,-1.72234e-06,-67611.2,-67605.8,-5.4332,-107042,-107043,0.94643,0,0,0,-145334,-145333,-1.50636,29318.7,29315.7,2.98041,-5.97071,-5.97409,0.00338189,16.0066,16.0068,-0.000247725,31.1135,31.1135,6.00054e-07,0,0,0,29.6843,29.6843,-9.55061e-07,-17.4358,-17.4361,0.000246169
850,25,1.11056,1.11056,3.72528e-08,16.8322,16.8322,7.90736e-07,-69272.8,-69267,-5.80558,-109561,-109562,0.818046,0,0,0,-146913,-146912,-1.30202,31920.2,31916.5,3.68551,-6.21111,-6.21454,0.00343226,16.2215,16.2218,-0.000252669,31.2275,31.2275,-3.25188e-07,0,0,0,29.4961,29.4961,5.17578e-07,-17.9529,-17.9532,0.000253511
900,25,1.096,1.096,5.58791e-08,15.4989,15.4989,1.08987e-06,-70964.3,-70958.1,-6.16325,-112122,-112122,0.689169,0,0,0,-148482,-148481,-1.0969,34604.2,34599.8,4.37718,-6.44639,-6.44988,0.00349111,16.437,16.4373,-0.000256312,31.3447,31.3447,-5.26659e-07,0,0,0,29.3032,29.3032,8.38244e-07,-18.4785,-18.4788,0.000257677
950,25,1.08179,1.08179,1.11758e-07,14.3031,14.3031,2.00425e-06,-72679.2,-72672.7,-6.50897,-114724,-114724,0.560572,0,0,0,-150038,-150037,-0.89222,37365.2,37360.2,5.05617,-6.6762,-6.67976,0.00355661,16.6529,16.6532,-0.00026055,31.4648,31.4648,-1.13304e-06,0,0,0,29.1066,29.1066,1.80337e-06,-19.0111,-19.0114,0.000263487
1000,25,1.06794,1.06794,1.11758e-07,13.2284,13.2284,1.84408e-06,-74410.3,-74403.5,-6.84477,-117366,-117367,0.431614,0,0,0,-151580,-151579,-0.686967,40196.9,40191.1,5.72619,-6.90008,-6.90371,0.0036266,16.869,16.8692,-0.000263953,31.587,31.587,-1.21436e-06,0,0,0,28.9071,28.9071,1.9328e-06,-19.5489,-19.5492,0.0002671
300,30,1.33441,1.33441,5.58791e-08,52.2148,52.2148,3.19568e-06,-51629.4,-51627,-2.45375,-80653.7,-80655.9,2.23711,0,0,0,-125779,-125776,-3.56064,6503.91,6507.25,-3.344,-2.47998,-2.48291,0.0029329,13.5003,13.5005,-0.000210395,30.1336,30.1336,-1.16147e-07,0,0,0,31.3641,31.3641,1.84863e-07,-12.2698,-12.2701,0.000210696
350,30,1.31776,1.31776,-5.58791e-08,46.6172,46.6172,-2.92017e-06,-52822.7,-52820.1,-2.58317,-82710.1,-82712.2,2.10789,0,0,0,-127334,-127331,-3.35497,8198.56,8201.44,-2.87969,-2.87532,-2.87825,0.00293172,13.6709,13.6711,-0.000211902,30.1617,30.1617,1.33791e-07,0,0,0,31.2749,31.2749,-2.12945e-07,-12.5577,-12.5579,0.000211555
400,30,1.30142,1.30142,1.86264e-08,41.8119,41.8119,8.89489e-07,-54078.5,-54075.7,-2.75297,-84813.7,-84815.6,1.97902,0,0,0,-128916,-128912,-3.14986,9976.51,9978.88,-2.37591,-3.23898,-3.24192,0.00293596,13.8425,13.8428,-0.000215347,30.1995,30.1995,-5.06966e-08,0,0,0,31.1801,31.1801,8.069e-08,-12.8619,-12.8622,0.000215479
450,30,1.2853,1.2853,3.72528e-08,37.6464,37.6464,1.62598e-06,-55390,-55387,-2.98923,-86963.4,-86965.2,1.85005,0,0,0,-130517,-130514,-2.94459,11836.1,11837.9,-1.80542,-3.57703,-3.57996,0.00293593,14.0161,14.0164,-0.000218254,30.2451,30.2451,-1.14083e-07,0,0,0,31.0801,31.0801,1.81578e-07,-13.1811,-13.1814,0.000218549
500,30,1.26938,1.26938,-3.77476e-15,34.0095,34.0095,1.42109e-14,-56749,-56745.7,-3.33808,-89158.2,-89159.9,1.72095,0,0,0,-132134,-132131,-2.7391,13773.3,13774.4,-1.12196,-3.89329,-3.89621,0.00291861,14.192,14.1922,-0.00022058,30.297,30.297,1.42109e-14,0,0,0,30.9751,30.9751,3.90799e-14,-13.5139,-13.5141,0.00022058
550,30,1.25365,1.25365,5.58791e-08,30.8164,30.8164,2.0398e-06,-58147.5,-58143.6,-3.84004,-91397.3,-91398.9,1.5921,0,0,0,-133761,-133759,-2.53403,15783.7,15784,-0.286086,-4.19055,-4.19343,0.00287587,14.37,14.3703,-0.000223988,30.3542,30.3542,-2.11599e-07,0,0,0,30.8652,30.8652,3.36785e-07,-13.859,-13.8593,0.000224537
600,30,1.23814,1.23814,-2.22045e-16,28.0005,28.0005,3.19744e-14,-59583,-59578.6,-4.43149,-93679.9,-93681.4,1.46291,0,0,0,-135395,-135393,-2.3284,17867.8,17867.2,0.640176,-4.47223,-4.47506,0.00282773,14.5501,14.5503,-0.000226146,30.4162,30.4162,3.55271e-14,0,0,0,30.7509,30.7509,1.42109e-14,-14.2154,-14.2156,0.000226146
650,30,1.22286,1.22286,3.72528e-08,25.508,25.508,1.13958e-06,-61059.2,-61054.2,-5.00948,-96005.4,-96006.7,1.33403,0,0,0,-137033,-137030,-2.12328,20032,20030.4,1.55216,-4.74235,-4.74515,0.00280084,14.7319,14.7321,-0.00022942,30.4822,30.4822,-1.70268e-07,0,0,0,30.6322,30.6322,2.71003e-07,-14.5818,-14.5821,0.000229862
700,30,1.20784,1.20784,-1.86264e-08,23.2946,23.2946,-5.2205e-07,-62578.7,-62573.1,-5.54561,-98373,-98374.2,1.2048,0,0,0,-138670,-138669,-1.91759,22281.3,22278.9,2.42323,-5.00383,-5.00663,0.00279868,14.915,14.9153,-0.000231589,30.5519,30.5519,9.28451e-08,0,0,0,30.5096,30.5096,-1.47775e-07,-14.9574,-14.9576,0.000231348
750,30,1.1931,1.1931,0,21.3234,21.3234,-1.06581e-14,-64141,-64135,-6.04473,-100782,-100783,1.07586,0,0,0,-140306,-140304,-1.71236,24617.3,24614.1,3.25651,-5.25828,-5.26109,0.00281719,15.0993,15.0996,-0.000234683,30.6249,30.6249,1.06581e-14,0,0,0,30.3832,30.3832,3.90799e-14,-15.3409,-15.3412,0.000234683
800,30,1.17865,1.17865,3.72527e-08,19.5634,19.5634,8.78033e-07,-65743.3,-65736.8,-6.51506,-103233,-103234,0.947024,0,0,0,-141937,-141936,-1.50731,27039.1,27035.1,4.06073,-5.50648,-5.50933,0.00285157,15.2844,15.2846,-0.000238043,30.7006,30.7006,-2.18056e-07,0,0,0,30.2536,30.2536,3.47063e-07,-15.7314,-15.7317,0.000238608
850,30,1.16451,1.16451,1.86264e-08,17.9883,17.9883,4.0295e-07,-67381.1,-67374.1,-6.96299,-105724,-105725,0.817923,0,0,0,-143561,-143560,-1.30183,29543.9,29539.1,4.84324,-5.74874,-5.75164,0.00289791,15.47,15.4703,-0.000240692,30.7789,30.7789,-1.17459e-07,0,0,0,30.1211,30.1211,1.86951e-07,-16.1278,-16.1281,0.000240997
900,30,1.15068,1.15068,5.58791e-08,16.5753,16.5753,1.11017e-06,-69048.7,-69041.3,-7.39313,-108256,-108256,0.689129,0,0,0,-145177,-145176,-1.09683,32127.7,32122.1,5.60716,-5.98505,-5.988,0.00295358,15.656,15.6562,-0.000244095,30.8591,30.8591,-3.7824e-07,0,0,0,29.9862,29.9862,6.02017e-07,-16.5289,-16.5292,0.000245076
950,30,1.13716,1.13716,1.86264e-08,15.3051,15.3051,3.40037e-07,-70739.7,-70731.9,-7.8088,-110827,-110828,0.559904,0,0,0,-146782,-146781,-0.891158,34785.2,34778.8,6.35774,-6.21522,-6.21823,0.0030159,15.8421,15.8423,-0.000246487,30.941,30.941,-1.34857e-07,0,0,0,29.8495,29.8495,2.14642e-07,-16.9336,-16.9338,0.000246836
1000,30,1.12396,1.12396,5.58791e-08,14.1609,14.1609,9.37829e-07,-72446.9,-72438.7,-8.21248,-113438,-113439,0.431145,0,0,0,-148375,-148374,-0.686221,37510.4,37503.3,7.09511,-6.43893,-6.44201,0.00308335,16.0281,16.0283,-0.000249915,31.024,31.024,-4.31254e-07,0,0,0,29.7115,29.7115,6.86395e-07,-17.3406,-17.3408,0.000251033
300,35,1.37392,1.37392,-7.45055e-08,54.4896,54.4896,-4.31867e-06,-50039.9,-50037,-2.84526,-77045.1,-77047.3,2.2369,0,0,0,-122046,-122042,-3.5603,5039.12,5042.07,-2.95194,-1.92144,-1.92385,0.00241013,13.1121,13.1123,-0.000203085,30.034,30.034,1.24547e-07,0,0,0,31.4797,31.4797,-1.98232e-07,-11.6665,-11.6667,0.000202762
350,35,1.35779,1.35779,1.86264e-08,48.7243,48.7243,9.87392e-07,-51213.7,-51210.7,-2.99579,-79095,-79097.1,2.10803,0,0,0,-123617,-123613,-3.3552,6691.88,6694.35,-2.46743,-2.34691,-2.34935,0.002434,13.2679,13.2681,-0.000206399,30.0482,30.0482,-3.57186e-08,0,0,0,31.4081,31.4081,5.68506e-08,-11.9079,-11.9081,0.000206492
400,35,1.34208,1.34208,-1.86264e-08,43.7682,43.7682,-9.02898e-07,-52450,-52446.8,-3.19355,-81190.1,-81192.1,1.97894,0,0,0,-125216,-125213,-3.14973,8424.25,8426.18,-1.93513,-2.73502,-2.73748,0.00245605,13.4232,13.4234,-0.000208445,30.0716,30.0716,4.04175e-08,0,0,0,31.3327,31.3327,-6.43295e-08,-12.162,-12.1622,0.00020834
450,35,1.32664,1.32664,-4.65659e-08,39.4649,39.4649,-2.06427e-06,-53741.9,-53738.4,-3.46912,-83329.8,-83331.6,1.84986,0,0,0,-126837,-126834,-2.94428,10234.6,10235.9,-1.32501,-3.09303,-3.0955,0.00246727,13.5794,13.5796,-0.000210582,30.102,30.102,1.13141e-07,0,0,0,31.2539,31.2539,-1.80079e-07,-12.4275,-12.4278,0.000210289
500,35,1.31142,1.31142,-4.65659e-08,35.7009,35.7009,-1.8882e-06,-55081,-55077.1,-3.87664,-85513,-85514.7,1.72083,0,0,0,-128475,-128472,-2.73891,12119,12119.6,-0.5831,-3.42566,-3.42811,0.00245374,13.737,13.7372,-0.000213021,30.1381,30.1381,1.25626e-07,0,0,0,31.1717,31.1717,-1.99949e-07,-12.7034,-12.7036,0.000212695
550,35,1.29641,1.29641,1.86264e-08,32.39,32.39,6.91085e-07,-56459.4,-56454.9,-4.4636,-87739,-87740.6,1.59198,0,0,0,-130125,-130123,-2.53384,14073,14072.6,0.337785,-3.73635,-3.73876,0.00240666,13.8961,13.8963,-0.000216181,30.1787,30.1787,-5.54072e-08,0,0,0,31.0864,31.0864,8.81874e-08,-12.9884,-12.9886,0.000216325
600,35,1.2816,1.2816,1.86264e-08,29.4645,29.4645,6.32589e-07,-57874.6,-57869.5,-5.15545,-90007.1,-90008.6,1.46297,0,0,0,-131785,-131782,-2.3285,16097.2,16095.9,1.36398,-4.02906,-4.03141,0.00235034,14.0567,14.0569,-0.000218682,30.2232,30.2232,-6.07304e-08,0,0,0,30.9982,30.9982,9.666e-08,-13.2817,-13.2819,0.000218839
650,35,1.26701,1.26701,3.72528e-08,26.8697,26.8697,1.15859e-06,-59330.3,-59324.5,-5.83147,-92316.7,-92318,1.33402,0,0,0,-133449,-133447,-2.12326,18198.1,18195.8,2.37418,-4.30821,-4.31052,0.00231604,14.2186,14.2188,-0.000221411,30.2709,30.2709,-1.32438e-07,0,0,0,30.9072,30.9072,2.10792e-07,-13.5823,-13.5825,0.000221755
700,35,1.25266,1.25266,-5.58791e-08,24.5611,24.5611,-1.59222e-06,-60829.2,-60822.8,-6.45839,-94667.2,-94668.4,1.20466,0,0,0,-135116,-135114,-1.91737,20380.9,20377.6,3.33635,-4.57705,-4.57935,0.00230833,14.3815,14.3817,-0.000222884,30.3215,30.3215,2.15604e-07,0,0,0,30.8137,30.8137,-3.43162e-07,-13.8892,-13.8895,0.000222325
750,35,1.23856,1.23856,1.86264e-08,22.5011,22.5011,4.8649e-07,-62370.8,-62363.8,-7.0419,-97058.1,-97059.2,1.07593,0,0,0,-136782,-136780,-1.71248,22647.2,22643,4.25348,-4.83746,-4.83978,0.00232294,14.5451,14.5454,-0.000226288,30.3746,30.3746,-7.76687e-08,0,0,0,30.718,30.718,1.23619e-07,-14.2017,-14.202,0.000226489
800,35,1.22473,1.22473,7.45055e-08,20.6582,20.6582,1.78458e-06,-63952.3,-63944.7,-7.59162,-99489.1,-99490,0.947175,0,0,0,-138445,-138444,-1.50755,24996.3,24991.2,5.1369,-5.09046,-5.09282,0.00235431,14.7094,14.7096,-0.000229517,30.4297,30.4297,-3.34431e-07,0,0,0,30.6203,30.6203,5.32288e-07,-14.5189,-14.5191,0.000230384
850,35,1.21117,1.21117,-1.86264e-08,19.0058,19.0058,-4.09341e-07,-65569.2,-65561.1,-8.11507,-101960,-101960,0.817732,0,0,0,-140103,-140102,-1.30152,27425.5,27419.6,5.99581,-5.33653,-5.33893,0.00239808,14.874,14.8742,-0.000230952,30.4866,30.4866,8.96684e-08,0,0,0,30.5209,30.5209,-1.42718e-07,-14.8397,-14.84,0.00023072
900,35,1.19791,1.19791,-1.86264e-08,17.5208,17.5208,-3.75746e-07,-67215.9,-67207.3,-8.61764,-104469,-104470,0.688708,0,0,0,-141754,-141753,-1.09616,29931.1,29924.3,6.83277,-5.57585,-5.5783,0.00245171,15.0387,15.039,-0.000233507,30.5449,30.5449,9.58304e-08,0,0,0,30.4202,30.4202,-1.52526e-07,-15.1634,-15.1637,0.000233259
950,35,1.18493,1.18493,-8.88178e-16,16.1836,16.1836,4.61853e-14,-68886,-68876.9,-9.10325,-107018,-107019,0.559788,0,0,0,-143396,-143395,-0.890973,32508,32500.3,7.65248,-5.80834,-5.81086,0.00251255,15.2034,15.2037,-0.000236301,30.6043,30.6043,-2.84217e-14,0,0,0,30.3186,30.3186,-1.06581e-14,-15.4891,-15.4893,0.000236301
1000,35,1.17224,1.17224,-3.72528e-08,14.9769,14.9769,-6.34013e-07,-70572.3,-70562.7,-9.57478,-109606,-109606,0.430545,0,0,0,-145028,-145027,-0.685265,35150.5,35142,8.45897,-6.03384,-6.03641,0.00257842,15.368,15.3682,-0.00023837,30.6643,30.6643,2.16719e-07,0,0,0,30.2165,30.2165,-3.44935e-07,-15.8158,-15.816,0.000237808
300,40,1.40978,1.40978,3.72528e-08,56.5807,56.5807,2.18517e-06,-48493.3,-48492.5,-0.850321,-73448.9,-73451.1,2.23707,0,0,0,-118297,-118294,-3.56058,3644.94,3649.89,-4.94733,-1.38984,-1.39265,0.00281631,12.7786,12.7788,-0.00019895,29.9597,29.9597,-5.14529e-08,0,0,0,31.5651,31.5651,8.18938e-08,-11.1732,-11.1734,0.000199083
350,40,1.39398,1.39398,4.65659e-08,50.6545,50.6545,2.49966e-06,-49649.2,-49648.2,-0.994958,-75494.4,-75496.5,2.10808,0,0,0,-119881,-119878,-3.35527,5262.38,5266.85,-4.46838,-1.84557,-1.84838,0.00280126,12.9235,12.9237,-0.000201296,29.964,29.964,-7.35636e-08,0,0,0,31.5058,31.5058,1.17086e-07,-11.3817,-11.3819,0.000201487
400,40,1.3787,1.3787,-3.72528e-08,45.5551,45.5551,-1.8296e-06,-50867.7,-50866.5,-1.19397,-77583.5,-77585.5,1.97891,0,0,0,-121495,-121492,-3.14968,6956.49,6960.42,-3.93462,-2.2585,-2.26129,0.00278726,13.0666,13.0668,-0.000202736,29.9773,29.9773,6.63654e-08,0,0,0,31.4437,31.4437,-1.05629e-07,-11.6002,-11.6004,0.000202564
450,40,1.36377,1.36377,1.9984e-15,41.1218,41.1218,-3.55271e-14,-52141.7,-52140.3,-1.48217,-79715.6,-79717.4,1.84996,0,0,0,-123132,-123129,-2.94445,8725.7,8729.01,-3.31224,-2.63702,-2.63978,0.00276356,13.2097,13.2099,-0.000205314,29.9973,29.9973,3.19744e-14,0,0,0,31.3793,31.3793,-3.55271e-15,-11.8278,-11.828,0.000205314
500,40,1.34908,1.34908,2.79396e-08,37.2385,37.2385,1.14873e-06,-53462.9,-53461,-1.92152,-81889.9,-81891.7,1.72101,0,0,0,-124787,-124784,-2.73921,10566.1,10568.6,-2.53869,-2.9867,-2.98941,0.00271362,13.3535,13.3537,-0.000207825,30.0225,30.0225,-6.14241e-08,0,0,0,31.3126,31.3126,9.77642e-08,-12.0635,-12.0637,0.000207985
550,40,1.33461,1.33461,6.51923e-08,33.8175,33.8175,2.45311e-06,-54823.1,-54820.6,-2.56648,-84105.9,-84107.5,1.5921,0,0,0,-126456,-126453,-2.53403,12473.3,12474.8,-1.55965,-3.31164,-3.31427,0.00262699,13.4983,13.4986,-0.000210459,30.0518,30.0518,-1.57427e-07,0,0,0,31.2438,31.2438,2.50565e-07,-12.3064,-12.3067,0.000210867
600,40,1.32034,1.32034,-3.72528e-08,30.7898,30.7898,-1.28329e-06,-56220.1,-56216.8,-3.3315,-86362.8,-86364.3,1.4628,0,0,0,-128135,-128133,-2.32823,14448,14448.5,-0.459535,-3.61628,-3.61881,0.00253127,13.6442,13.6444,-0.000211681,30.0846,30.0846,9.82247e-08,0,0,0,31.1729,31.1729,-1.56337e-07,-12.5558,-12.556,0.000211427
650,40,1.30629,1.30629,-5.58791e-08,28.1003,28.1003,-1.76282e-06,-57657.4,-57653.3,-4.07817,-88660.1,-88661.4,1.33371,0,0,0,-129821,-129819,-2.12277,16496.8,16496.2,0.621679,-3.90543,-3.90789,0.00246209,13.791,13.7912,-0.000213757,30.1202,30.1202,1.60045e-07,0,0,0,31.1003,31.1003,-2.54731e-07,-12.8108,-12.811,0.000213343
700,40,1.29246,1.29246,5.58791e-08,25.7035,25.7035,1.61496e-06,-59137.8,-59133,-4.76835,-90997.2,-90998.4,1.20507,0,0,0,-131510,-131508,-1.91802,18624.8,18623.2,1.64526,-4.18268,-4.1851,0.00242487,13.9385,13.9387,-0.000217243,30.1581,30.1581,-1.7305e-07,0,0,0,31.026,31.026,2.75431e-07,-13.0706,-13.0708,0.000217692
750,40,1.27887,1.27887,3.72527e-08,23.5615,23.5615,9.86716e-07,-60660.8,-60655.4,-5.4086,-93373.8,-93374.9,1.076,0,0,0,-133201,-133199,-1.71259,20834,20831.4,2.62001,-4.45015,-4.45257,0.00241331,14.0866,14.0868,-0.000219353,30.1981,30.1981,-1.24222e-07,0,0,0,30.9503,30.9503,1.97714e-07,-13.3345,-13.3347,0.000219675
800,40,1.26553,1.26553,-1.86264e-08,21.6425,21.6425,-4.52329e-07,-62223.6,-62217.6,-6.01001,-95789.4,-95790.4,0.946763,0,0,0,-134889,-134888,-1.50689,23123.6,23120,3.55636,-4.70909,-4.71151,0.00242159,14.2351,14.2353,-0.000221041,30.2398,30.2398,6.66211e-08,0,0,0,30.8733,30.8733,-1.06036e-07,-13.6016,-13.6018,0.000220868
850,40,1.25245,1.25245,-2.79396e-08,19.9191,19.9191,-6.22307e-07,-63821.8,-63815.2,-6.58124,-98243.8,-98244.6,0.817698,0,0,0,-136575,-136573,-1.30147,25491.2,25486.7,4.46207,-4.96014,-4.96258,0.00244523,14.3838,14.384,-0.000223241,30.2828,30.2828,1.06803e-07,0,0,0,30.7953,30.7953,-1.6999e-07,-13.8714,-13.8716,0.000222964
900,40,1.23963,1.23963,6.51923e-08,18.3681,18.3681,1.3323e-06,-65449.9,-65442.7,-7.1285,-100737,-100737,0.689122,0,0,0,-138254,-138252,-1.09682,27933,27927.6,5.34255,-5.20362,-5.2061,0.00248081,14.5325,14.5327,-0.000226637,30.3269,30.3269,-2.65433e-07,0,0,0,30.7165,30.7165,4.2247e-07,-14.1429,-14.1431,0.000227325
950,40,1.22709,1.22709,1.9984e-15,16.9695,16.9695,3.90799e-14,-67101.3,-67093.6,-7.65631,-103268,-103268,0.559788,0,0,0,-139925,-139924,-0.890973,30444.3,30438.1,6.20555,-5.43962,-5.44214,0.0025249,14.6811,14.6813,-0.000228183,30.3719,30.3719,3.90799e-14,0,0,0,30.6374,30.6374,-1.42109e-14,-14.4156,-14.4158,0.000228183
1000,40,1.21481,1.21481,5.58791e-08,15.7057,15.7057,9.62353e-07,-68769,-68760.8,-8.16802,-105837,-105837,0.431083,0,0,0,-141586,-141585,-0.686122,33019.6,33012.6,7.05082,-5.66806,-5.67063,0.00257591,14.8294,14.8297,-0.00023117,30.4173,30.4173,-2.55609e-07,0,0,0,30.5582,30.5582,4.06834e-07,-14.6885,-14.6888,0.000231833
300,45,1.44275,1.44275,2.79396e-08,58.5249,58.5249,1.65645e-06,-46984,-46983,-0.990044,-69862,-69864.3,2.23705,0,0,0,-114537,-114534,-3.56055,2308.89,2313.7,-4.80756,-0.880394,-0.882817,0.0024226,12.4866,12.4868,-0.000194316,29.9023,29.9023,-3.25549e-08,0,0,0,31.6307,31.6307,5.18152e-08,-10.7581,-10.7583,0.0001944
350,45,1.42712,1.42712,1.86264e-08,52.4436,52.4436,1.01114e-06,-48123.1,-48121.9,-1.15408,-71904.7,-71906.8,2.10803,0,0,0,-116132,-116129,-3.35519,3895.77,3900.08,-4.30914,-1.36629,-1.36871,0.00242514,12.6234,12.6236,-0.000196365,29.8992,29.8992,-2.4772e-08,0,0,0,31.5801,31.5801,3.94276e-08,-10.9424,-10.9426,0.000196429
400,45,1.41214,1.41214,-5.58791e-08,47.2071,47.2071,-2.77657e-06,-49325.1,-49323.7,-1.37958,-73989.4,-73991.4,1.97888,0,0,0,-117758,-117754,-3.14964,5556.92,5560.67,-3.74893,-1.80411,-1.80654,0.00242334,12.7572,12.7574,-0.000197776,29.9051,29.9051,8.35885e-08,0,0,0,31.5277,31.5277,-1.33041e-07,-11.1346,-11.1348,0.000197559
450,45,1.39757,1.39757,1.86264e-08,42.6501,42.6501,8.4706e-07,-50582.6,-50580.9,-1.7058,-76115.8,-76117.6,1.85,0,0,0,-119408,-119405,-2.94451,7290.81,7293.9,-3.08871,-2.20338,-2.20579,0.00240623,12.8902,12.8904,-0.000200519,29.9176,29.9176,-3.09965e-08,0,0,0,31.4736,31.4736,4.93348e-08,-11.3341,-11.3343,0.000200599
