pH,log_a_Hplus,logfO2,converged,wlm_mol,assemblage_id,assemblage
6.0000,-6.0000,-32.0000,0,nan,-1,
6.0000,-6.0000,-28.5714,0,nan,-1,
6.0000,-6.0000,-25.1429,0,nan,-1,
6.0000,-6.0000,-21.7143,0,nan,-1,
6.0000,-6.0000,-18.2857,0,nan,-1,
6.0000,-6.0000,-14.8571,0,nan,-1,
6.0000,-6.0000,-11.4286,0,nan,-1,
6.0000,-6.0000,-8.0000,0,nan,-1,
6.7143,-6.7143,-32.0000,0,nan,-1,
6.7143,-6.7143,-28.5714,0,nan,-1,
6.7143,-6.7143,-25.1429,0,nan,-1,
6.7143,-6.7143,-21.7143,0,nan,-1,
6.7143,-6.7143,-18.2857,0,nan,-1,
6.7143,-6.7143,-14.8571,0,nan,-1,
6.7143,-6.7143,-11.4286,0,nan,-1,
6.7143,-6.7143,-8.0000,0,nan,-1,
7.4286,-7.4286,-32.0000,0,nan,-1,
7.4286,-7.4286,-28.5714,0,nan,-1,
7.4286,-7.4286,-25.1429,0,nan,-1,
7.4286,-7.4286,-21.7143,0,nan,-1,
7.4286,-7.4286,-18.2857,0,nan,-1,
7.4286,-7.4286,-14.8571,0,nan,-1,
7.4286,-7.4286,-11.4286,0,nan,-1,
7.4286,-7.4286,-8.0000,0,nan,-1,
8.1429,-8.1429,-32.0000,0,nan,-1,
8.1429,-8.1429,-28.5714,0,nan,-1,
8.1429,-8.1429,-25.1429,0,nan,-1,
8.1429,-8.1429,-21.7143,0,nan,-1,
8.1429,-8.1429,-18.2857,0,nan,-1,
8.1429,-8.1429,-14.8571,0,nan,-1,
8.1429,-8.1429,-11.4286,0,nan,-1,
8.1429,-8.1429,-8.0000,0,nan,-1,
8.8571,-8.8571,-32.0000,0,nan,-1,
8.8571,-8.8571,-28.5714,0,nan,-1,
8.8571,-8.8571,-25.1429,0,nan,-1,
8.8571,-8.8571,-21.7143,0,nan,-1,
8.8571,-8.8571,-18.2857,0,nan,-1,
8.8571,-8.8571,-14.8571,0,nan,-1,
8.8571,-8.8571,-11.4286,0,nan,-1,
8.8571,-8.8571,-8.0000,0,nan,-1,
9.5714,-9.5714,-32.0000,0,nan,-1,
9.5714,-9.5714,-28.5714,0,nan,-1,
9.5714,-9.5714,-25.1429,0,nan,-1,
9.5714,-9.5714,-21.7143,0,nan,-1,
9.5714,-9.5714,-18.2857,0,nan,-1,
9.5714,-9.5714,-14.8571,0,nan,-1,
9.5714,-9.5714,-11.4286,0,nan,-1,
9.5714,-9.5714,-8.0000,0,nan,-1,
10.2857,-10.2857,-32.0000,0,nan,-1,
10.2857,-10.2857,-28.5714,0,nan,-1,
10.2857,-10.2857,-25.1429,0,nan,-1,
10.2857,-10.2857,-21.7143,0,nan,-1,
10.2857,-10.2857,-18.2857,0,nan,-1,
10.2857,-10.2857,-14.8571,0,nan,-1,
10.2857,-10.2857,-11.4286,0,nan,-1,
10.2857,-10.2857,-8.0000,0,nan,-1,
11.0000,-11.0000,-32.0000,0,nan,-1,
11.0000,-11.0000,-28.5714,0,nan,-1,
11.0000,-11.0000,-25.1429,0,nan,-1,
11.0000,-11.0000,-21.7143,0,nan,-1,
11.0000,-11.0000,-18.2857,0,nan,-1,
11.0000,-11.0000,-14.8571,0,nan,-1,
11.0000,-11.0000,-11.4286,0,nan,-1,
11.0000,-11.0000,-8.0000,0,nan,-1,
