pH,log_a_Hplus,logfO2,converged,wlm_mol,assemblage_id,assemblage
6.5000,-6.5000,-40.0000,0,nan,-1,
6.5000,-6.5000,-36.0000,0,nan,-1,
6.5000,-6.5000,-32.0000,0,nan,-1,
6.5000,-6.5000,-28.0000,0,nan,-1,
6.5000,-6.5000,-24.0000,0,nan,-1,
6.5000,-6.5000,-20.0000,0,nan,-1,
6.5000,-6.5000,-16.0000,0,nan,-1,
6.5000,-6.5000,-12.0000,0,nan,-1,
7.2857,-7.2857,-40.0000,0,nan,-1,
7.2857,-7.2857,-36.0000,0,nan,-1,
7.2857,-7.2857,-32.0000,0,nan,-1,
7.2857,-7.2857,-28.0000,0,nan,-1,
7.2857,-7.2857,-24.0000,0,nan,-1,
7.2857,-7.2857,-20.0000,0,nan,-1,
7.2857,-7.2857,-16.0000,0,nan,-1,
7.2857,-7.2857,-12.0000,0,nan,-1,
8.0714,-8.0714,-40.0000,0,nan,-1,
8.0714,-8.0714,-36.0000,0,nan,-1,
8.0714,-8.0714,-32.0000,0,nan,-1,
8.0714,-8.0714,-28.0000,0,nan,-1,
8.0714,-8.0714,-24.0000,0,nan,-1,
8.0714,-8.0714,-20.0000,0,nan,-1,
8.0714,-8.0714,-16.0000,0,nan,-1,
8.0714,-8.0714,-12.0000,0,nan,-1,
8.8571,-8.8571,-40.0000,0,nan,-1,
8.8571,-8.8571,-36.0000,0,nan,-1,
8.8571,-8.8571,-32.0000,0,nan,-1,
8.8571,-8.8571,-28.0000,0,nan,-1,
8.8571,-8.8571,-24.0000,0,nan,-1,
8.8571,-8.8571,-20.0000,0,nan,-1,
8.8571,-8.8571,-16.0000,0,nan,-1,
8.8571,-8.8571,-12.0000,0,nan,-1,
9.6429,-9.6429,-40.0000,0,nan,-1,
9.6429,-9.6429,-36.0000,0,nan,-1,
9.6429,-9.6429,-32.0000,0,nan,-1,
9.6429,-9.6429,-28.0000,0,nan,-1,
9.6429,-9.6429,-24.0000,0,nan,-1,
9.6429,-9.6429,-20.0000,0,nan,-1,
9.6429,-9.6429,-16.0000,0,nan,-1,
9.6429,-9.6429,-12.0000,0,nan,-1,
10.4286,-10.4286,-40.0000,0,nan,-1,
10.4286,-10.4286,-36.0000,0,nan,-1,
10.4286,-10.4286,-32.0000,0,nan,-1,
10.4286,-10.4286,-28.0000,0,nan,-1,
10.4286,-10.4286,-24.0000,0,nan,-1,
10.4286,-10.4286,-20.0000,0,nan,-1,
10.4286,-10.4286,-16.0000,0,nan,-1,
10.4286,-10.4286,-12.0000,0,nan,-1,
11.2143,-11.2143,-40.0000,0,nan,-1,
11.2143,-11.2143,-36.0000,0,nan,-1,
11.2143,-11.2143,-32.0000,0,nan,-1,
11.2143,-11.2143,-28.0000,0,nan,-1,
11.2143,-11.2143,-24.0000,0,nan,-1,
11.2143,-11.2143,-20.0000,0,nan,-1,
11.2143,-11.2143,-16.0000,0,nan,-1,
11.2143,-11.2143,-12.0000,0,nan,-1,
12.0000,-12.0000,-40.0000,0,nan,-1,
12.0000,-12.0000,-36.0000,0,nan,-1,
12.0000,-12.0000,-32.0000,0,nan,-1,
12.0000,-12.0000,-28.0000,0,nan,-1,
12.0000,-12.0000,-24.0000,0,nan,-1,
12.0000,-12.0000,-20.0000,0,nan,-1,
12.0000,-12.0000,-16.0000,0,nan,-1,
12.0000,-12.0000,-12.0000,0,nan,-1,
