T_C,P_kb,abs_err_g,rel_err_g,abs_err_v,rel_err_v,abs_err_logk
600,5,78.228,0.000564408,0.000348077,6.90191e-06,0.00086007
650,5,103.051,0.000672577,0.000361545,6.23087e-06,3.84915e-05
700,5,84.3783,0.00049981,0.000375598,5.61058e-06,0.00152529
750,5,130.233,0.000702778,0.000390174,5.04665e-06,0.000327716
800,5,136.786,0.000674565,0.000405205,4.54222e-06,6.34405e-05
850,5,120.813,0.000546282,0.000420622,4.09771e-06,0.00125329
900,5,155.826,0.000648456,0.000436356,3.71106e-06,0.000210577
950,5,133.443,0.00051276,0.000452344,3.37836e-06,0.00172678
1000,5,120.876,0.000430466,0.000468523,3.09462e-06,0.00273809
600,10,74.6802,0.000642647,0.00029146,1.08275e-05,0.000177203
650,10,98.9471,0.000774112,0.000298446,1.03228e-05,0.000766439
700,10,80.0183,0.000571457,0.000305587,9.83566e-06,0.000726635
750,10,125.167,0.000819599,0.000312864,9.36895e-06,0.00118087
800,10,131.977,0.000795097,0.000320261,8.92499e-06,0.00102573
850,10,115.161,0.000640486,0.00032776,8.5055e-06,0.000231218
900,10,150.346,0.000774769,0.000335347,8.11166e-06,0.000921308
950,10,127.956,0.000612777,0.000343008,7.74414e-06,0.000493662
1000,10,112.337,0.00050156,0.000350732,7.40317e-06,0.0015307
450,15,50.3196,0.000684123,0.000250593,1.41168e-05,8.4931e-05
500,15,54.6983,0.000660555,0.00025522,1.37304e-05,4.24174e-05
550,15,61.9917,0.000670482,0.00025996,1.33445e-05,1.37557e-05
600,15,78.2903,0.00076377,0.000264798,1.29621e-05,0.000586425
650,15,129.075,0.00114279,0.000269722,1.25854e-05,0.0030334
700,15,97.1302,0.000783812,0.000274721,1.22166e-05,0.000769398
750,15,145.65,0.00107676,0.000279783,1.18575e-05,0.0028218
800,15,150.14,0.00102065,0.000284897,1.15097e-05,0.00252394
850,15,153.395,0.000962518,0.000290056,1.11744e-05,0.00218185
900,15,220.778,0.00128376,0.000295251,1.08529e-05,0.00471394
950,15,175.02,0.000945666,0.000300476,1.05462e-05,0.00219346
1000,15,139.758,0.000704043,0.000305724,1.02549e-05,0.000292422
350,20,51.5706,0.00106914,0.000229381,1.57802e-05,0.00162133
400,20,55.7278,0.000991419,0.00023292,1.54906e-05,0.00141005
450,20,66.6714,0.00103258,0.000236541,1.5194e-05,0.00169967
500,20,83.8964,0.00114467,0.000240241,1.48939e-05,0.00235962
550,20,92.7965,0.00112643,0.000244011,1.45931e-05,0.00239575
600,20,113.938,0.00124097,0.000247844,1.42936e-05,0.00314629
650,20,161.638,0.00159089,0.000251729,1.39973e-05,0.00530477
700,20,132.127,0.00118107,0.00025566,1.37055e-05,0.00307997
750,20,222.561,0.00181792,0.000259627,1.34198e-05,0.00718623
800,20,228.579,0.00171261,0.000263624,1.31412e-05,0.00678523
850,20,239.999,0.00165639,0.000267644,1.28707e-05,0.00665929
900,20,222.876,0.00142218,0.000271682,1.26092e-05,0.00526141
950,20,213.236,0.00126272,0.000275734,1.23576e-05,0.00428783
1000,20,234.313,0.00129234,0.000279794,1.21166e-05,0.0046432
300,25,61.54,0.00182875,0.00021703,1.66468e-05,0.00355936
350,25,67.2636,0.00164253,0.000220006,1.64258e-05,0.00334471
400,25,77.4892,0.00159394,0.000223027,1.61929e-05,0.00349241
450,25,86.3301,0.00152413,0.000226099,1.59529e-05,0.00350214
500,25,107.997,0.00166147,0.000229224,1.5709e-05,0.00436215
550,25,110.363,0.00149735,0.000232397,1.54636e-05,0.00387826
600,25,136.581,0.00165125,0.000235614,1.52185e-05,0.00486455
650,25,192.846,0.00209509,0.000238867,1.49753e-05,0.00743183
700,25,168.986,0.00165941,0.00024215,1.47352e-05,0.00541827
750,25,235.562,0.00210487,0.000245458,1.44992e-05,0.00820856
800,25,228.024,0.00186231,0.000248784,1.42684e-05,0.0071168
850,25,304.078,0.00228202,0.000252124,1.40435e-05,0.0100011
900,25,246.06,0.00170239,0.000255474,1.38253e-05,0.00665589
950,25,289.415,0.00185467,0.00025883,1.36145e-05,0.00790686
1000,25,308.692,0.00183882,0.000262188,1.34117e-05,0.00806301
300,30,79.0155,0.00291212,0.00020983,1.7101e-05,0.00554887
350,30,86.1675,0.0025183,0.000212482,1.69202e-05,0.00530644
400,30,96.409,0.002315,0.000215149,1.67273e-05,0.00532185
450,30,110.132,0.00222886,0.000217847,1.65269e-05,0.00557032
500,30,127.032,0.00220922,0.00022058,1.63222e-05,0.00598667
550,30,142.424,0.00216133,0.000223348,1.61154e-05,0.00624378
600,30,157.668,0.00211348,0.000226146,1.59083e-05,0.00645028
650,30,200.393,0.00239666,0.000228972,1.57023e-05,0.00817767
700,30,210.565,0.00226379,0.000231819,1.54984e-05,0.00796633
750,30,245.309,0.00238735,0.000234683,1.52976e-05,0.00901855
800,30,329.139,0.00291783,0.000237559,1.51007e-05,0.0123519
850,30,325.292,0.0026385,0.000240445,1.49085e-05,0.0112973
900,30,352.331,0.00262797,0.000243335,1.47216e-05,0.0116989
950,30,336.083,0.00231454,0.000246227,1.45405e-05,0.0102091
1000,30,343.747,0.00219507,0.000249118,1.4366e-05,0.00981025
300,35,94.0206,0.00447938,0.000203796,1.74682e-05,0.00729044
350,35,103.937,0.00372602,0.000206217,1.73174e-05,0.00714995
400,35,116.41,0.00331364,0.000208631,1.7154e-05,0.00721161
450,35,127.575,0.00298813,0.000211059,1.69829e-05,0.00715443
500,35,157.769,0.00312118,0.000213508,1.6807e-05,0.00837713
550,35,182.402,0.00310741,0.000215982,1.66285e-05,0.00908577
600,35,206.384,0.00307373,0.000218478,1.64493e-05,0.00966257
650,35,279.588,0.0036855,0.000220993,1.62705e-05,0.0129517
700,35,277.682,0.003267,0.000223525,1.60931e-05,0.0118564
750,35,352.432,0.00373325,0.000226069,1.59182e-05,0.0147722
800,35,264.127,0.00253188,0.000228622,1.57463e-05,0.00946337
850,35,411.198,0.00359636,0.000231181,1.55783e-05,0.0155706
900,35,477.883,0.00383061,0.000233741,1.54145e-05,0.0175662
950,35,402.807,0.00297032,0.000236301,1.52557e-05,0.0133322
1000,35,475.645,0.00324464,0.000238858,1.51023e-05,0.0154959
300,40,108.636,0.00717455,0.000198612,1.77755e-05,0.00897844
350,40,121.714,0.00555869,0.000200864,1.76477e-05,0.00897599
400,40,125.437,0.00432832,0.00020309,1.75071e-05,0.00823091
450,40,148.439,0.00408249,0.000205314,1.73583e-05,0.00896711
500,40,181.542,0.00412342,0.000207549,1.72044e-05,0.0102775
550,40,189.139,0.00363735,0.000209799,1.70476e-05,0.00979733
600,40,234.082,0.00388734,0.000212066,1.68896e-05,0.0115965
650,40,282.252,0.00410606,0.000214347,1.67315e-05,0.0133717
700,40,297.162,0.00382797,0.00021664,1.65743e-05,0.0131662
750,40,348.644,0.00401567,0.000218943,1.6419e-05,0.0148375
800,40,408.545,0.00424064,0.000221251,1.62662e-05,0.0167522
850,40,458.482,0.0043173,0.000223562,1.61165e-05,0.0180225
900,40,485.111,0.0041681,0.000225873,1.59705e-05,0.0181369
950,40,436.044,0.00343496,0.000228183,1.58287e-05,0.0149989
1000,40,473.894,0.00344199,0.000230488,1.56914e-05,0.0156685
300,45,126.475,0.0132658,0.000194074,1.80394e-05,0.0109457
350,45,136.905,0.00847029,0.0001962,1.79299e-05,0.0105705
400,45,150.081,0.00649697,0.00019828,1.78073e-05,0.010448
450,45,168.87,0.00556668,0.000200347,1.76761e-05,0.0107336
500,45,188.317,0.00497415,0.000202415,1.75396e-05,0.0110137
550,45,226.134,0.00495538,0.000204492,1.73997e-05,0.0124147
600,45,228.078,0.00424582,0.000206579,1.72583e-05,0.011497
650,45,328.32,0.00529506,0.000208676,1.71164e-05,0.0162329
700,45,344.112,0.00486729,0.000210782,1.69751e-05,0.0159347
750,45,378.169,0.00474456,0.000212894,1.68351e-05,0.0165875
800,45,473.55,0.00532197,0.00021501,1.66972e-05,0.0201555
850,45,516.177,0.00523367,0.000217128,1.65619e-05,0.0209409
900,45,449.451,0.00413534,0.000219244,1.64297e-05,0.0167783
950,45,456.311,0.00383598,0.000221358,1.63012e-05,0.0160923
1000,45,487.956,0.00376908,0.000223466,1.61766e-05,0.0164706
300,50,143.376,0.0346947,0.000190042,1.82707e-05,0.0128149
350,50,160.311,0.0150639,0.000192073,1.8176e-05,0.0128416
400,50,171.53,0.00982419,0.000194041,1.80679e-05,0.0124048
450,50,181.53,0.00738674,0.000195983,1.7951e-05,0.0119261
500,50,209.567,0.00655874,0.000197918,1.78284e-05,0.0127159
550,50,218.401,0.00551367,0.000199855,1.77022e-05,0.0121794
600,50,317.102,0.00668356,0.000201798,1.75741e-05,0.0170733
650,50,381.018,0.00685194,0.000203747,1.74452e-05,0.0194565
700,50,440.969,0.00688054,0.000205702,1.73166e-05,0.0213706
750,50,492.061,0.00674939,0.000207661,1.71889e-05,0.0226338
800,50,461.156,0.00561538,0.000209622,1.70629e-05,0.0197752
850,50,615.966,0.00673407,0.000211584,1.69391e-05,0.0258041
900,50,449.455,0.00443091,0.000213543,1.6818e-05,0.0169941
950,50,571.717,0.00513244,0.000215498,1.67001e-05,0.0212364
1000,50,591.622,0.00486095,0.000217448,1.65857e-05,0.0209363
300,55,163.864,0.149618,0.000186418,1.84767e-05,0.0150004
350,55,167.479,0.0314444,0.000188377,1.83942e-05,0.0137401
400,55,185.896,0.0154545,0.000190256,1.8298e-05,0.0138011
450,55,214.587,0.0112882,0.000192098,1.81928e-05,0.0145824
500,55,240.397,0.00915201,0.000193925,1.80817e-05,0.0150554
550,55,261.769,0.00774828,0.000195748,1.79667e-05,0.0151784
600,55,295.568,0.00711391,0.000197572,1.78495e-05,0.0160208
650,55,416.967,0.00842173,0.0001994,1.77313e-05,0.0217211
700,55,426.427,0.00736547,0.000201231,1.7613e-05,0.0208121
750,55,553.956,0.00833262,0.000203064,1.74954e-05,0.0260128
800,55,578.338,0.00766161,0.000204897,1.73791e-05,0.0256947
850,55,586.763,0.00691829,0.00020673,1.72647e-05,0.0246528
900,55,521.557,0.00551862,0.00020856,1.71526e-05,0.0204105
950,55,571.548,0.0054765,0.000210385,1.70433e-05,0.0214298
1000,55,625.598,0.00546524,0.000212204,1.69372e-05,0.0225287
300,60,172.779,0.028067,0.000183128,1.86627e-05,0.016121
350,60,181.851,1.08559,0.000185033,1.85903e-05,0.0152337
400,60,210.863,0.0311873,0.000186841,1.85041e-05,0.0160116
450,60,231.057,0.016931,0.000188602,1.84087e-05,0.0160308
500,60,253.121,0.0121704,0.00019034,1.83071e-05,0.0161619
550,60,308.366,0.0109484,0.000192068,1.82014e-05,0.0183735
600,60,354.46,0.00990236,0.000193794,1.80933e-05,0.0197738
650,60,387.312,0.0088589,0.00019552,1.7984e-05,0.020262
700,60,445.168,0.00857344,0.000197247,1.78743e-05,0.0220322
750,60,561.634,0.00930123,0.000198974,1.7765e-05,0.0266128
800,60,585.605,0.00845689,0.000200701,1.76568e-05,0.0262513
850,60,710.966,0.0090788,0.000202425,1.75501e-05,0.0306311
900,60,674.28,0.0076774,0.000204146,1.74455e-05,0.0274091
950,60,738.435,0.00757267,0.000205862,1.73434e-05,0.028752
1000,60,694.28,0.00645493,0.000207572,1.72441e-05,0.0255359
