case,sectioning,P(bar),T(K),X(CO2),vol[cm3/mol],y(H2O),y(CO2),Y_C,Y_O,Y_H,Y_N,Y_S,Y_Si,f(H2O),f(CO2),log[f(O2)],log[f(S2)],log[f(H2)],log[a(C)],epsilon
h2o_co2_hybrid_mrk,X(CO2)=0.000000,1000.0,373.15,0.0,44.48185,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1.805024,1000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,2000.0,373.15,0.0,38.76848,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,3.197471,2000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,3000.0,373.15,0.0,36.02747,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,5.573469,3000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,4000.0,373.15,0.0,34.25055,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,9.588268,4000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,5000.0,373.15,0.0,32.94703,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,16.3128,5000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,6000.0,373.15,0.0,31.92309,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,27.48696,6000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,7000.0,373.15,0.0,31.0829,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,45.92171,7000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,8000.0,373.15,0.0,30.37231,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,76.13472,8000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,9000.0,373.15,0.0,29.75782,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,125.3511,9000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,10000.0,373.15,0.0,29.21729,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,205.0731,1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,11000.0,373.15,0.0,28.73538,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,333.5319,1.1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,12000.0,373.15,0.0,28.301,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,539.5063,1.2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,13000.0,373.15,0.0,27.90593,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,868.2472,1.3e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,14000.0,373.15,0.0,27.54386,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1390.641,1.4e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,15000.0,373.15,0.0,27.20989,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,2217.34,1.5e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,16000.0,373.15,0.0,26.9001,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,3520.483,1.6e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,17000.0,373.15,0.0,26.61136,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,5566.993,1.7e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,18000.0,373.15,0.0,26.34106,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,8769.477,1.8e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,19000.0,373.15,0.0,26.08709,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,13763.82,1.9e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,20000.0,373.15,0.0,25.84764,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,21527.2,2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,1000.0,423.15,0.0,48.9173,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,8.036272,1000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,2000.0,423.15,0.0,41.07973,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,13.49224,2000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,3000.0,423.15,0.0,37.68393,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,22.26701,3000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,4000.0,423.15,0.0,35.57439,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,36.25529,4000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,5000.0,423.15,0.0,34.06474,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,58.37466,5000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,6000.0,423.15,0.0,32.89841,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,93.09504,6000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,7000.0,423.15,0.0,31.95293,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,147.2313,7000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,8000.0,423.15,0.0,31.16071,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,231.1256,8000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,9000.0,423.15,0.0,30.48072,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,360.405,9000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,10000.0,423.15,0.0,29.88623,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,558.5852,1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,11000.0,423.15,0.0,29.35894,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,860.9175,1.1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,12000.0,423.15,0.0,28.88576,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1320.051,1.2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,13000.0,423.15,0.0,28.45705,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,2014.347,1.3e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,14000.0,423.15,0.0,28.06548,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,3060.05,1.4e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,15000.0,423.15,0.0,27.70537,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,4629.061,1.5e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,16000.0,423.15,0.0,27.37224,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,6974.813,1.6e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,17000.0,423.15,0.0,27.06249,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,10469.87,1.7e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,18000.0,423.15,0.0,26.77318,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,15660.39,1.8e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,19000.0,423.15,0.0,26.50188,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,23344.92,1.9e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,20000.0,423.15,0.0,26.24657,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,34687.97,2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,1000.0,473.15,0.0,53.89009,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,24.00007,1000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,2000.0,473.15,0.0,43.47405,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,38.89227,2000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,3000.0,473.15,0.0,39.34281,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,61.84755,3000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,4000.0,473.15,0.0,36.87536,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,96.95463,4000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,5000.0,473.15,0.0,35.14985,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,150.2421,5000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,6000.0,473.15,0.0,33.83729,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,230.5641,6000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,7000.0,473.15,0.0,32.7852,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,350.8685,7000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,8000.0,473.15,0.0,31.91128,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,530.0117,8000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,9000.0,473.15,0.0,31.16634,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,795.3461,9000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,10000.0,473.15,0.0,30.51877,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1186.401,1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,11000.0,473.15,0.0,29.94713,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1760.099,1.1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,12000.0,473.15,0.0,29.43625,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,2598.143,1.2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,13000.0,473.15,0.0,28.97501,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,3817.423,1.3e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,14000.0,473.15,0.0,28.55504,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,5584.669,1.4e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,15000.0,473.15,0.0,28.16988,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,8137.014,1.5e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,16000.0,473.15,0.0,27.81446,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,11810.8,1.6e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,17000.0,473.15,0.0,27.48471,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,17081.81,1.7e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,18000.0,473.15,0.0,27.17734,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,24621.38,1.8e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,19000.0,473.15,0.0,26.88964,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,35374.47,1.9e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,20000.0,473.15,0.0,26.61934,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,50668.06,2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,1000.0,523.15,0.0,59.27571,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,55.22518,1000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,2000.0,523.15,0.0,45.95841,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,87.35021,2000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,3000.0,523.15,0.0,41.01595,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,135.2201,3000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,4000.0,523.15,0.0,38.16503,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,206.0879,4000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,5000.0,523.15,0.0,36.21316,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,310.2725,5000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,6000.0,523.15,0.0,34.74966,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,462.4272,6000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,7000.0,523.15,0.0,33.58894,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,683.2868,7000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,8000.0,523.15,0.0,32.63259,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1002.082,8000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,9000.0,523.15,0.0,31.82267,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1459.874,9000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,10000.0,523.15,0.0,31.12237,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,2114.137,1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,11000.0,523.15,0.0,30.50695,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,3045.067,1.1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,12000.0,523.15,0.0,29.95905,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,4364.208,1.2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,13000.0,523.15,0.0,29.46602,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,6226.253,1.3e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,14000.0,523.15,0.0,29.01841,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,8845.133,1.4e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,15000.0,523.15,0.0,28.60896,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,12515.91,1.5e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,16000.0,523.15,0.0,28.23199,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,17644.49,1.6e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,17000.0,523.15,0.0,27.88298,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,24787.94,1.7e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,18000.0,523.15,0.0,27.55826,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,34708.89,1.8e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,19000.0,523.15,0.0,27.25484,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,48449.14,1.9e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,20000.0,523.15,0.0,26.97024,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,67428.67,2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,1000.0,573.15,0.0,64.86645,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,105.5029,1000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,2000.0,573.15,0.0,48.52487,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,164.1675,2000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,3000.0,573.15,0.0,42.70957,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,249.0533,3000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,4000.0,573.15,0.0,39.45158,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,371.3489,4000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,5000.0,573.15,0.0,37.26289,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,546.4495,5000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,6000.0,573.15,0.0,35.64345,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,795.5994,6000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,7000.0,573.15,0.0,34.37161,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1148.045,7000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,8000.0,573.15,0.0,33.33168,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1643.919,8000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,9000.0,573.15,0.0,32.45636,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,2338.119,9000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,10000.0,573.15,0.0,31.70331,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,3305.487,1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,11000.0,573.15,0.0,31.04434,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,4647.76,1.1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,12000.0,573.15,0.0,30.45977,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,6502.824,1.2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,13000.0,573.15,0.0,29.93541,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,9057.053,1.3e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,14000.0,573.15,0.0,29.46065,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,12561.69,1.4e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,15000.0,573.15,0.0,29.02743,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,17354.58,1.5e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,16000.0,573.15,0.0,28.62945,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,23888.95,1.6e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,17000.0,573.15,0.0,28.2617,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,32771.37,1.7e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,18000.0,573.15,0.0,27.92016,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,44811.93,1.8e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,19000.0,573.15,0.0,27.60153,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,61090.16,1.9e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,20000.0,573.15,0.0,27.30311,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,83041.76,2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,1000.0,623.15,0.0,70.4793,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,175.478,1000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,2000.0,623.15,0.0,51.15405,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,270.4314,2000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,3000.0,623.15,0.0,44.42478,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,404.1005,3000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,4000.0,623.15,0.0,40.73994,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,592.1571,4000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,5000.0,623.15,0.0,38.30484,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,855.3851,5000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,6000.0,623.15,0.0,36.52451,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1221.728,6000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,7000.0,623.15,0.0,35.13893,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1728.749,7000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,8000.0,623.15,0.0,34.01404,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,2426.823,8000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,9000.0,623.15,0.0,33.07263,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,3383.31,9000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,10000.0,623.15,0.0,32.26657,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,4688.019,1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,11000.0,623.15,0.0,31.56403,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,6460.355,1.1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,12000.0,623.15,0.0,30.94296,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,8858.637,1.2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,13000.0,623.15,0.0,30.3875,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,12092.25,1.3e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,14000.0,623.15,0.0,29.88591,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,16437.42,1.4e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,15000.0,623.15,0.0,29.42926,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,22257.72,1.5e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,16000.0,623.15,0.0,29.01062,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,30030.58,1.6e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,17000.0,623.15,0.0,28.62451,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,40381.62,1.7e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,18000.0,623.15,0.0,28.26651,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,54128.96,1.8e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,19000.0,623.15,0.0,27.93306,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,72340.29,1.9e+16,0.0,-4999.5,nan,0.0,1.0
